,accuracy,f1 score
EfficientNetB0_ft,0.909952606635071,0.9103103444386049
EfficientNetB0,0.9020537124802528,0.9016861332798718
ResNet50V_ft,0.8957345971563981,0.8945898671575728
ResNet50V2,0.8783570300157978,0.87865079472168
MobileNetV2_ft,0.8767772511848341,0.8769601506515146
MobileNetV2,0.8751974723538705,0.8757702821323503
EyeSeeNet,0.8578199052132701,0.8580688825650978
